Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bahrein,7776.956577,8332.914254,8771.785353,8833.411343,9342.538914,10434.1324,10460.15832,11151.8715,11629.35952,11900.93178,12091.78022,12254.66626,11625.03438,12123.35347,14214.48368,13573.23399,13501.47088,14486.0269,15963.94932,17966.16578,19267.28262,20908.40425,23299.49928,19465.31407,21819.32911,25032.78677,26438.67332,26989.76011,26451.79656,23734.05511,23800.00144,24784.76935,26324.40665,27259.74386,24342.84446,27147.80839,30616.26107,29218.86056
Bahamas,9600.599528,10361.34881,10575.79715,11291.47645,11473.30084,11082.35286,10873.40475,10613.06588,10991.23467,11374.60567,11783.7972,20367.57327,21667.44882,24041.09332,24940.07751,25371.92377,26781.61959,26429.12478,26650.29342,28602.41819,29184.78651,30051.84896,29392.38244,27512.9131,27473.10043,27090.83768,28552.02427,27432.95343,28705.61708,30289.40225,30266.58592,31337.18325,32124.40511,32979.54013,25155.67254,28682.327,33044.38821,35896.50511
Bosnia y Herzegovina,,,,,1742.882622,1373.371045,1118.175699,929.8721187,337.090896,502.365981,718.9337971,913.8133991,1006.704797,1134.60298,1338.480596,1387.893651,1606.546722,2033.947009,2452.686168,2739.610769,3166.128653,3931.489487,4841.693119,4539.918638,4506.478285,4982.693758,4693.788991,5034.56616,5206.065583,4662.258837,4928.566525,5345.019855,6047.845843,6122.375345,6130.311332,7295.343824,7655.59421,8638.666202
Belarús,,,,,1706.640919,1805.455925,1658.086413,1589.510113,1460.007914,1370.699914,1452.507105,1396.657187,1511.259791,1210.587439,1276.280381,1244.373185,1479.380663,1819.526531,2378.337005,3126.071767,3848.223503,4735.481076,6376.175692,5352.488092,6034.678852,6527.659343,6953.215917,7998.080205,8341.290143,5967.06856,5039.775609,5785.533977,6360.053101,6837.768321,6542.86454,7489.718947,7994.648061,7829.053137
Belice,1859.10214,2165.894314,2405.811166,2741.936384,2988.649523,3192.365269,3645.612437,3862.71049,3879.013747,4012.07959,4045.694451,4016.629416,4127.937186,4291.831682,4729.670804,4721.816257,4861.743142,4962.08962,5156.098171,5272.744172,5527.167759,5765.281999,5713.281268,5401.229631,5451.138972,5582.221706,5709.689188,5950.202999,6128.142885,6154.495935,6142.498732,6072.582676,6031.281396,6190.047923,5227.193638,6122.611586,7068.454783,7459.998151
Bermudas,20996.97672,23042.74359,24958.1127,26282.6241,27665.52581,28195.70916,28761.96346,30950.07991,31543.06349,34115.34456,45063.61493,48736.6768,51629.28149,54388.34173,56542.95695,59490.2452,63358.56587,67106.80281,71692.1589,77628.10352,97781.4559,107395.6515,110268.5624,104711.7124,104111.8242,99049.01699,100213.4934,101704.4075,100961.5766,104855.3668,108747.3561,112339.4256,113204.8221,115798.0408,106973.1757,112712.0251,120897.3112,125841.6025
Bolivia,604.2573383,649.7087694,672.6071728,675.4699939,682.6768103,733.9354876,759.571135,756.637016,774.0356696,852.7540349,922.1132591,970.3518434,1022.145065,979.344495,975.7770604,930.1682272,888.221329,893.0137602,953.1918932,1020.123262,1202.711504,1354.549059,1692.672485,1731.181721,1929.783731,2315.521219,2575.598571,2870.02377,3041.435031,2996.012898,3035.873478,3306.303012,3500.726422,3503.896011,3099.94219,3384.844865,3643.92827,3686.279965
Brasil,1854.037752,2006.002262,2140.650276,2818.99278,3117.735347,2257.609297,2127.316427,2348.882477,3298.712507,4756.748408,5179.13052,5299.396304,5105.890995,3493.571625,3766.548115,3176.289357,2855.940189,3090.60701,3663.823188,4827.781731,5934.144711,7409.691307,8908.331766,8678.659225,11403.28213,13396.62436,12521.72135,12458.89121,12274.99397,8936.196618,8836.286526,10080.50928,9300.661649,9029.833267,7074.193783,7972.53665,9281.333344,10294.86668
Barbados,6031.358608,6624.599395,7032.653708,7772.550228,7781.405733,7790.262294,7519.201435,7904.707624,8223.166812,8460.473809,9011.778848,9521.571274,10734.36372,11244.30877,11674.67365,11639.51605,11760.45247,12075.9587,12886.36653,14214.42022,15619.6006,17235.43964,17565.693,16294.90995,18860.38337,19345.99531,19034.0708,19308.00911,19277.94236,18954.29137,19065.80698,19692.76067,20055.91587,20583.72658,18347.11091,18696.7859,22164.02603,23804.02499
Brunei Darussalam,18500.54086,21029.71898,18824.76373,20090.06902,23658.71663,23932.18975,23450.89644,22397.07379,22766.58719,26443.25643,25692.23564,25522.39755,17769.24636,19752.20132,20130.25715,18287.82717,18621.29227,20677.90012,24423.09477,29386.27036,34674.7996,36217.3291,42156.56852,30946.46743,34937.55552,46382.82745,46968.59711,44003.06443,41026.50839,30625.12873,26663.29732,28024.38246,30988.11905,30426.57303,26834.35925,31006.96362,36632.92804,32962.90651
Bhután,364.6945696,449.0604439,488.8777574,461.6546188,488.3274315,400.6347052,415.7915226,407.3998425,467.0083121,530.1036769,552.8738914,630.4474101,638.2789623,685.4198306,771.9249114,812.2382108,895.7994899,1022.382403,1130.359346,1299.949386,1405.607162,1850.415704,1919.597749,1918.395992,2435.579807,2787.979677,2751.212887,2679.952172,2849.499987,2954.04082,3152.309051,3435.288048,3400.204172,3576.879871,3191.66907,3570.612579,3711.327679,
Botswana,1199.846779,1638.826694,2140.514392,2427.68262,2903.153816,2938.594427,3004.612634,2929.43119,2917.255142,3156.181945,3156.268657,3194.181061,2981.196397,3339.99596,3450.811806,3206.071237,3117.250872,4230.123269,4956.692877,5391.070766,5291.583791,5529.125746,5503.073953,5082.933883,6215.732161,7287.382953,6595.53845,6666.912196,7122.364234,6141.203947,6749.059943,7104.964011,7407.959401,7172.089565,6323.314192,7808.20624,8329.040322,7820.232404
República Centroafricana,426.0269926,449.9521301,466.0705969,443.2268598,501.6562006,464.8282836,461.5873035,404.9545469,261.2603974,333.1458632,293.3065753,265.5212824,266.5705446,267.995954,239.1541337,237.9517025,248.639291,278.4039922,303.4613212,311.9500231,333.9425199,380.8870488,437.2482747,456.4716739,476.873787,534.0572815,544.3958491,364.3669626,409.850486,366.3228539,387.1762034,432.3240257,455.2439629,449.2284676,462.8790713,492.2631428,467.359825,495.9788972
Canadá,14521.18008,16377.69021,19012.57233,20794.68223,21525.86114,21846.79305,20950.33053,20186.79888,19997.62374,20679.63479,21296.97235,21901.56285,21024.58507,22315.24667,24271.00206,23822.09621,24256.01923,28301.86459,32145.54126,36383.66001,40504.0371,44660.08389,46710.25269,40874.88319,47560.6666,52223.85884,52670.34473,52638.11872,50960.84312,43594.1941,42314.06158,45129.62812,46539.17616,46352.86934,43537.8393,52496.84417,55509.39318,53431.18571
Europa Central y del Báltico,,,,,2456.159361,2263.814936,2332.245797,2455.812762,2804.191926,3591.800572,3806.96502,3756.478786,4117.289296,3997.132271,3959.094293,4360.497477,4941.084945,5949.73678,7181.262146,8353.572001,9467.802376,11997.96322,14574.67278,12304.59125,12639.15404,14000.17927,13107.50012,13697.2993,14183.71548,12568.29651,12836.56663,14294.44702,16181.60737,16475.16148,16450.87751,19144.06855,19502.81693,22637.79501
Suiza,24459.85363,30440.51082,32690.43027,31308.65083,39574.53981,39544.49468,40713.68815,39237.11866,43091.7771,50113.83212,48092.6433,41584.44178,42680.58673,41695.69129,38865.02194,39638.79111,42458.73847,49335.74563,54659.45715,56242.89336,59011.03246,64989.15533,74175.19279,71568.31239,76531.37294,90476.75897,85836.20768,87304.33058,88724.99094,83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85897.78433,93446.43445,93245.79521,99564.71003
Islas del Canal,,,,,,,,,,,,,40472.66535,42443.71997,43479.19408,41873.74061,44459.73182,48570.77966,56259.53442,57647.11889,62745.10066,74139.97799,,57778.54029,56121.63866,60419.23251,58813.93665,59304.85125,64700.74257,61852.07365,55950.14854,55806.57091,60783.35331,60568.10853,56785.94024,66912.17501,67627.30823,74589.13802
Chile,1501.091407,1739.676991,2003.363504,2265.359377,2466.130142,2770.079646,3309.399239,3494.994609,3981.390189,5055.614062,5333.504387,5741.95843,5419.824173,4933.555815,5052.992458,4563.595299,4430.847412,4773.401775,6120.591521,7480.32331,9318.656553,10346.41382,10683.21888,10098.80172,12632.87047,14487.39278,15241.907,15683.54864,14529.67672,13433.9203,13649.85205,14879.90862,15659.48087,14495.71672,13114.81547,16216.57065,15451.13196,17067.81362
China,281.9281209,251.811957,283.5376952,310.8819124,317.884673,333.1421454,366.4606923,377.3898395,473.4899164,609.6043379,709.4158882,781.7425612,828.594691,873.2923363,959.3604314,1053.112314,1148.514257,1288.637491,1508.667916,1753.414192,2099.21943,2693.958732,3468.327063,3832.227457,4550.473944,5614.386022,6300.58218,7020.386074,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12662.58267,12614.06174
Côte d'Ivoire,877.1549568,929.611363,909.5341822,832.559838,885.6478422,827.2418892,844.9022238,804.1496572,581.8884686,740.4730999,1170.23622,1124.656749,1177.371338,1096.135206,936.6365413,924.727295,967.8158644,1111.171351,1199.825245,1197.74617,1230.430568,1367.538177,1583.970667,1540.453936,1553.54887,1596.628266,1546.946018,1786.15862,1991.365394,1814.718551,1862.595971,1964.299303,2130.866194,2141.768362,2179.729348,2455.981276,2308.706547,2530.846593
Camerún,1178.59375,1258.314128,1145.16556,1000.892613,1086.717009,1014.828973,1005.448976,1309.9363,700.7095019,832.0066745,826.9653223,783.2516019,798.7456214,796.2626498,708.5657316,715.4702965,789.6238111,988.2412768,1133.393267,1142.624663,1191.45459,1325.672482,1492.142698,1461.389992,1398.58702,1513.96057,1449.098744,1575.928821,1649.443391,1415.000097,1441.720173,1496.089518,1610.696416,1555.226605,1555.603707,1672.326573,1604.87727,1736.860911
"Congo, República Democrática del",250.900914,230.0864158,257.7251517,254.2310379,254.8726563,239.6247728,209.1882526,263.3732745,136.5425725,127.0080787,127.4160884,132.3235611,131.4613484,96.31922435,377.9254215,142.6781426,162.3805291,161.4915535,180.664765,203.5616689,238.4176394,267.8885088,307.3196386,280.7980515,314.5385863,364.7141918,400.0599018,431.1915282,458.0045418,467.9145805,442.3104721,436.5845347,528.2560198,557.0441613,507.5212301,558.0340773,642.6122658,627.5021817
"Congo, República del",872.0486976,1052.338935,984.3762858,1032.864975,1175.667091,1112.535212,1164.22443,1034.372008,661.9042737,769.6067948,898.7940502,804.3040501,660.3797751,776.4163497,1024.301591,854.5983144,905.5381355,1016.823634,1306.101363,1799.051584,2103.582138,2206.471019,2832.091778,2271.152192,2946.557981,3396.165058,3732.327373,3697.417059,3601.236581,2439.351894,2093.107286,2211.633099,2694.434132,2488.424667,1993.586672,2516.162551,2620.838043,2477.978455
Colombia,1169.462121,1192.588286,1259.617411,1244.326946,1474.845529,1499.711042,1729.663973,1930.059765,2325.975573,2583.349914,2664.456256,2873.200188,2605.999381,2243.64205,2555.00751,2472.99084,2428.929698,2311.942188,2818.571954,3456.066109,3789.853612,4769.926147,5541.836297,5250.972924,6398.295845,7400.99407,8108.598382,8279.102556,8187.208249,6248.514905,5959.842504,6479.532313,6816.968183,6472.545449,5339.687114,6222.621644,6674.596019,6947.359287
Comoras,699.1864174,822.3532672,845.413856,788.442399,966.3203846,930.9695614,983.3925336,956.0875758,662.0231887,812.2159968,793.5248472,717.727665,716.4322401,727.2583601,655.0077967,691.6999088,762.1169303,959.7878945,1091.272164,1103.206585,1154.904223,1289.736311,1455.027686,1410.30517,1386.574243,1531.437894,1490.315114,1603.327971,1615.717237,1329.370482,1365.484034,1423.924803,1540.711323,1519.263864,1527.16991,1584.124502,1489.495663,1590.312377
Cabo Verde,541.1429856,658.4151914,729.4700128,727.1516856,817.4429255,831.6138876,907.8479095,1220.049979,991.1089744,1165.138323,1179.515227,1133.574226,1186.742948,1326.744669,1189.514793,1223.330553,1328.578743,1717.975654,1929.490815,2004.146804,2256.996662,3324.576752,3908.648858,3659.720464,3579.460061,4002.013869,3736.81517,3960.975968,3985.607065,3415.062667,3608.966066,3893.095723,4294.965105,4380.781192,3539.22662,3971.444074,4323.313627,4850.984158
Costa Rica,1568.564097,1567.032051,1554.740485,1725.139362,1829.668709,2253.381915,2612.387565,2840.387065,3039.563286,3275.252564,3226.963956,3407.776129,3617.457567,3690.961548,3812.753883,3985.129845,4067.718514,4173.148564,4431.011721,4703.007218,5256.596409,6137.711999,6937.242616,6832.698299,8265.788203,9276.391075,10126.9991,10803.2402,10911.49788,11714.7106,12091.03016,12317.09028,12590.24938,12884.686,12394.0494,12838.11854,13625.90085,16942.02681
Estados pequeos del Caribe,2961.382636,3181.834692,3465.093897,3461.70036,3540.01545,3576.502976,3615.794333,3726.298403,3975.758136,4160.117889,4423.169242,5609.753015,6038.837303,6353.305409,6626.895152,6628.936948,6957.15483,7098.968544,7417.591195,8063.660513,9344.431642,10042.3691,10440.09329,10122.42306,10638.16939,10801.13891,11305.60619,11336.21604,11603.94055,11835.28722,11358.70308,11775.3905,12047.85281,12356.32164,10270.79047,11920.34276,15564.55762,16906.56721
Cuba,2364.895598,2439.584003,2632.041768,2565.541179,2694.31698,2268.834932,2047.679003,2063.203663,2613.289719,2785.24443,2282.188093,2306.424834,2332.306561,2561.779804,2751.381771,2842.967043,3005.211042,3202.781099,3399.219629,3786.337992,4329.98266,4807.43889,4986.124365,5089.235198,5272.267558,6104.461052,6470.836734,6828.364282,7146.704591,7727.919972,8110.55874,8610.608295,8911.46206,9232.261159,9605.261251,,,
Curacao,,,,,,,,,,,,,,,15841.26124,16609.84545,16723.69253,16695.73511,16671.34034,17032.33566,17400.16378,18005.71659,19423.33524,19540.24766,19847.23101,19426.32638,19809.82232,19721.29216,19623.02999,19361.813,18944.09615,18938.24405,19119.12439,19220.6867,16356.09336,17980.08884,20501.75228,22192.4453
Islas Caimán,,,,,,,,,,,,,,,,,,,,,87085.09374,89888.26182,89655.11962,81373.57115,76837.66996,75280.96076,75101.59136,75113.73324,75845.30604,76379.20951,77802.25416,80053.94445,83865.55316,88254.29037,82338.79829,86438.44526,92202.1478,97749.5079
Chipre,5642.631348,6690.578125,7645.629883,8038.914063,9641.575195,9696.099609,11310.07227,10526.1416,11617.69238,15261.41699,15139.2207,14234.24121,15092.82813,15287.91797,14388.35254,14821.44922,16093.21582,20252.24609,23792.61914,24959.26172,26729.28125,31244.87891,35397.29688,32236.44922,31105.02734,32485.79688,28991.93555,27797.45703,27244.35156,23487.22852,24715.1543,26696.99023,29599.98633,29703.05273,28649.01563,33734.29297,33938.94531,36551.41797
República Checa,,,,,3969.367335,2917.086555,3396.709724,3984.146344,4663.286653,5865.294606,6573.196431,6069.387624,6526.596358,6377.621108,6062.921528,6669.074948,8101.260186,9852.456779,11782.55467,13442.49163,15259.07882,18452.65328,22774.70451,19817.42158,20160.43551,22049.10808,20014.0354,20260.4955,20038.41632,17931.59877,18753.96867,20913.19763,23705.93298,24062.719,23472.89155,27696.46195,28282.22367,31591.17707
Alemania,13511.152,16738.61328,17996.97835,17829.46095,22385.67783,23443.33508,26559.85439,25616.65088,27201.95936,31747.24494,30599.7891,27046.95655,27395.94406,26965.49228,23925.85599,23878.36415,25486.5942,30711.10225,34566.73591,35084.43635,36980.33499,42350.92172,46386.32959,42487.21371,42409.9357,47646.58204,44735.58823,47220.01021,48971.08247,41911.01099,42961.03569,45526.59996,48874.8595,47623.86561,47379.76519,52265.65416,49686.11546,54343.22651
Djibouti,,821.6825704,816.8746141,781.9168387,780.4977194,732.7331016,763.6592145,758.7338427,784.5562074,786.2018667,761.9436595,748.2328402,735.3491079,740.2193098,737.6121836,742.1337911,743.0132704,764.6344652,806.2616529,844.4483574,898.4646281,969.5732202,1119.152333,1150.937586,1213.233526,1306.345528,1400.193579,2074.296689,2208.678103,2376.125547,2510.430008,2618.955211,2718.085323,2837.171033,2881.999245,3019.693439,3231.300153,3554.839189
Dominica,1892.865565,2138.303851,2423.325743,2639.049548,2892.981597,3171.365778,3376.260501,3536.156092,3805.202788,3951.722671,4210.99532,4372.19713,4664.242681,4817.181055,4867.398963,4981.895849,4873.6422,5009.573932,5348.949001,5299.495964,5671.770657,6120.442054,6654.499214,7102.02826,7171.552389,7255.672106,7031.399871,7147.619541,7395.302597,7679.832936,8278.447686,7614.34028,8137.565206,9009.090115,7461.779332,8262.650913,9085.674128,9832.996431
Dinamarca,17136.62974,21295.67686,22524.57926,21882.15175,26885.69942,27002.80577,29579.49136,27581.72411,29967.83039,35321.09808,35621.98781,32779.87905,33346.48843,33426.23811,30722.02518,30768.47755,33257.16226,40519.09749,46625.0501,48925.80767,52119.1788,58631.65664,64616.66576,58412.74724,58104.54456,61809.7379,58443.77471,61377.59406,62520.45097,53094.01336,54500.92604,57521.5515,61324.7665,59404.26632,60985.48856,69727.98737,68091.31911,68453.87693
República Dominicana,931.6595301,868.0875578,783.9131421,954.9145044,989.1639412,1345.846737,1558.297821,1722.41996,1891.670557,2109.169407,2270.865587,2448.893935,2607.854573,2620.889682,2831.458836,2935.893673,3065.603295,2383.261718,2451.691616,3878.312067,4055.142703,4649.645589,5026.840911,4977.798844,5484.646379,5834.705907,6025.725827,6149.027489,6512.507714,6819.932252,7174.823496,7499.692862,7934.981412,8164.220809,7162.291752,8472.47982,10109.5234,10717.62767
Argelia,2800.202708,2847.077669,2450.872421,2247.460271,2445.183327,1759.112016,1802.693008,1831.04801,1525.540618,1466.948068,1616.831987,1628.761006,1603.366232,1596.118222,1772.928691,1896.300209,1937.464114,2283.772993,2816.99385,3233.133396,3660.661047,4167.451699,5180.918815,4235.429905,4912.785855,5916.313644,6033.648847,5979.60139,6094.693923,4685.059027,4424.98529,4554.66754,4577.210292,4468.453419,3743.541952,4160.559267,4961.552577,5364.02795
Asia oriental y el Pacífico (excluido altos ingresos),350.6593692,340.6196463,371.5794721,395.0366729,416.4994856,445.1043134,492.0974159,532.7923201,632.6541457,770.1438971,873.2895219,892.1315338,804.4715307,876.167058,954.4651712,1006.001553,1103.590673,1238.620986,1424.599711,1637.024099,1956.033454,2453.504419,3080.236227,3314.60145,4004.410055,4853.385352,5364.230699,5867.354666,6276.042179,6482.993156,6575.525088,7133.000059,7925.424765,8153.621406,8245.715216,9795.319389,9901.264099,9900.613565
